Date,Average_House_Price
1991-01,53052
1991-02,53497
1991-03,52893
1991-04,53677
1991-05,54386
1991-06,55107
1991-07,54541
1991-08,54041
1991-09,53259
1991-10,53467
1991-11,53018
1991-12,53104
1992-01,51951
1992-02,51850
1992-03,51978
1992-04,51978
1992-05,52713
1992-06,52906
1992-07,52727
1992-08,52312
1992-09,51097
1992-10,50699
1992-11,49602
1992-12,49745
1993-01,50075
1993-02,50375
1993-03,50187
1993-04,51677
1993-05,50901
1993-06,52786
1993-07,52245
1993-08,51697
1993-09,51177
1993-10,51209
1993-11,50614
1993-12,51423
1994-01,51621
1994-02,51516
1994-03,52101
1994-04,51506
1994-05,51765
1994-06,51514
1994-07,52121
1994-08,51686
1994-09,51586
1994-10,52850
1994-11,52085
1994-12,52092
1995-01,50901
1995-02,50789
1995-03,51627
1995-04,52063
1995-05,52180
1995-06,51347
1995-07,51623
1995-08,51238
1995-09,50933
1995-10,50807
1995-11,50937
1995-12,50798
1996-01,50521
1996-02,51256
1996-03,51519
1996-04,52700
1996-05,52909
1996-06,53325
1996-07,53589
1996-08,54025
1996-09,54334
1996-10,54825
1996-11,55436
1996-12,55093
1997-01,54656
1997-02,55621
1997-03,56516
1997-04,57406
1997-05,58196
1997-06,59189
1997-07,60134
1997-08,60581
1997-09,61334
1997-10,61489
1997-11,61879
1997-12,62037
1998-01,61820
1998-02,62770
1998-03,63493
1998-04,64301
1998-05,65131
1998-06,65871
1998-07,66654
1998-08,66171
1998-09,65948
1998-10,66123
1998-11,66150
1998-12,66372
1999-01,66385
1999-02,67021
1999-03,68308
1999-04,68856
1999-05,69933
1999-06,70789
1999-07,71232
1999-08,72635
1999-09,73232
1999-10,73769
1999-11,74954
1999-12,75219
2000-01,75060
2000-02,77072
2000-03,79393
2000-04,80893
2000-05,81006
2000-06,81452
2000-07,81133
2000-08,80737
2000-09,80672
2000-10,81036
2000-11,81770
2000-12,82188
2001-01,83450
2001-02,83314
2001-03,85077
2001-04,86244
2001-05,87267
2001-06,89068
2001-07,89962
2001-08,90361
2001-09,92432
2001-10,91653
2001-11,92262
2001-12,93544
2002-01,93231
2002-02,94965
2002-03,96792
2002-04,100473
2002-05,102886
2002-06,106693
2002-07,108818
2002-08,110890
2002-09,112919
2002-10,113665
2002-11,115761
2002-12,117206
2003-01,117905
2003-02,118521
2003-03,122180
2003-04,122748
2003-05,124752
2003-06,127214
2003-07,128251
2003-08,129258
2003-09,130473
2003-10,131947
2003-11,133388
2003-12,135444
2004-01,134806
2004-02,138730
2004-03,142584
2004-04,145918
2004-05,149020
2004-06,151524
2004-07,154299
2004-08,153743
2004-09,153727
2004-10,152159
2004-11,153439
2004-12,152623
2005-01,151757
2005-02,152879
2005-03,153876
2005-04,156128
2005-05,157272
2005-06,157791
2005-07,158348
2005-08,157310
2005-09,156517
2005-10,157107
2005-11,157139
2005-12,157250
2006-01,158478
2006-02,158573
2006-03,162083
2006-04,163573
2006-05,164632
2006-06,165730
2006-07,167733
2006-08,167721
2006-09,169413
2006-10,169623
2006-11,172185
2006-12,173746
2007-01,173225
2007-02,174706
2007-03,177083
2007-04,180314
2007-05,181584
2007-06,184070
2007-07,184270
2007-08,183898
2007-09,184723
2007-10,186044
2007-11,184099
2007-12,182080
2008-01,180473
2008-02,179358
2008-03,179110
2008-04,178555
2008-05,173583
2008-06,172415
2008-07,169316
2008-08,164654
2008-09,161797
2008-10,158872
2008-11,158442
2008-12,153048
2009-01,150501
2009-02,147746
2009-03,150946
2009-04,151861
2009-05,154016
2009-06,156442
2009-07,158871
2009-08,160224
2009-09,161816
2009-10,162038
2009-11,162764
2009-12,162103
2010-01,163481
2010-02,161320
2010-03,164519
2010-04,167802
2010-05,169162
2010-06,170111
2010-07,169347
2010-08,166507
2010-09,166757
2010-10,164279
2010-11,163133
2010-12,162249
2011-01,161211
2011-02,161183
2011-03,164751
2011-04,165609
2011-05,167208
2011-06,168205
2011-07,168731
2011-08,165914
2011-09,166256
2011-10,165650
2011-11,165798
2011-12,163822
2012-01,162228
2012-02,162712
2012-03,163327
2012-04,164134
2012-05,166022
2012-06,165738
2012-07,164389
2012-08,164729
2012-09,163964
2012-10,164153
2012-11,163853
2012-12,162262
2013-01,162245
2013-02,162638
2013-03,164630
